,Agency Name,Black,Hispanic,White,Asian or Pacific Islander,American Indian/Alaska Native,Hawaiian Native/Pacific Islander,Two or More Races,Total Enrollment
262,EARLIMART ELEMENTARY,5.0,1861.0,13.0,38.0,0.0,0.0,22.0,1939.0
263,EAST MERCED COUNTY PUBLIC FACILITIES FINANCING AUTHORITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,EAST NICOLAUS JOINT UNION HIGH,3.0,75.0,210.0,10.0,4.0,3.0,10.0,315.0
265,EAST SAN GABRIEL VALLEY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,EAST SAN GABRIEL VALLEY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,EAST SIDE UNION HIGH,635.0,13867.0,1412.0,10262.0,68.0,126.0,485.0,26855.0
268,EAST VALLEY SCHOOL TRANSPORTATION JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,EAST WHITTIER CITY ELEMENTARY,69.0,7431.0,984.0,221.0,11.0,20.0,93.0,8829.0
270,EASTERN SIERRA UNIFIED,2.0,156.0,197.0,8.0,35.0,2.0,2.0,402.0
271,EASTSIDE UNION ELEMENTARY,768.0,2166.0,285.0,60.0,9.0,5.0,104.0,3397.0
272,EDEN AREA ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,EDEN AREA ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,EDISON ELEMENTARY,20.0,872.0,125.0,5.0,11.0,0.0,26.0,1059.0
275,EL CENTRO ELEMENTARY,74.0,5696.0,182.0,28.0,3.0,1.0,65.0,6049.0
276,EL DORADO COUNTY OFFICE OF EDUCATION,45.0,209.0,640.0,8.0,25.0,2.0,56.0,985.0
277,EL DORADO UNION HIGH,72.0,965.0,4794.0,368.0,61.0,17.0,372.0,6649.0
278,EL MONTE CITY,22.0,6776.0,124.0,1526.0,0.0,5.0,0.0,8453.0
279,EL MONTE UNION HIGH,28.0,6870.0,120.0,1891.0,6.0,6.0,21.0,8942.0
280,EL NIDO ELEMENTARY,0.0,138.0,22.0,2.0,2.0,0.0,0.0,164.0
281,EL RANCHO UNIFIED,23.0,8534.0,84.0,71.0,4.0,2.0,12.0,8730.0
282,EL SEGUNDO UNIFIED,155.0,685.0,1859.0,279.0,11.0,16.0,464.0,3469.0
283,EL TEJON UNIFIED,8.0,303.0,396.0,11.0,18.0,4.0,45.0,785.0
284,ELK GROVE UNIFIED,7857.0,16487.0,12917.0,18218.0,397.0,1033.0,5643.0,62552.0
285,ELK HILLS ELEMENTARY,4.0,20.0,156.0,0.0,1.0,0.0,4.0,185.0
286,ELKINS ELEMENTARY,0.0,3.0,11.0,0.0,1.0,0.0,0.0,15.0
287,ELVERTA JOINT ELEMENTARY,31.0,87.0,124.0,13.0,6.0,1.0,26.0,288.0
288,EMERY UNIFIED,357.0,138.0,76.0,82.0,9.0,8.0,17.0,687.0
289,EMPIRE UNION ELEMENTARY,143.0,1831.0,734.0,124.0,14.0,25.0,154.0,3025.0
290,ENCINITAS UNION ELEMENTARY,50.0,1161.0,3598.0,250.0,22.0,9.0,223.0,5313.0
291,ENTERPRISE ELEMENTARY,74.0,640.0,2228.0,271.0,92.0,7.0,474.0,3786.0
292,ESCALON UNIFIED,9.0,1375.0,1377.0,62.0,8.0,2.0,62.0,2895.0
293,ESCONDIDO UNION,276.0,13482.0,3636.0,760.0,39.0,21.0,751.0,18965.0
294,ESCONDIDO UNION HIGH,212.0,5983.0,2574.0,481.0,25.0,27.0,203.0,9505.0
295,ESPARTO UNIFIED,11.0,724.0,199.0,12.0,6.0,2.0,13.0,967.0
296,ETIWANDA ELEMENTARY,1420.0,6237.0,3308.0,2233.0,28.0,38.0,728.0,13992.0
297,EUREKA CITY SCHOOLS,96.0,817.0,1805.0,422.0,212.0,57.0,358.0,3767.0
298,EUREKA UNION,76.0,362.0,2263.0,350.0,23.0,4.0,305.0,3383.0
299,EVERGREEN ELEMENTARY,166.0,2978.0,750.0,7238.0,35.0,56.0,571.0,11794.0
300,EVERGREEN UNION,5.0,179.0,911.0,16.0,36.0,3.0,42.0,1192.0
301,EXETER UNIFIED,25.0,1686.0,1045.0,25.0,22.0,3.0,45.0,2851.0
302,FAIRFAX ELEMENTARY,81.0,2370.0,128.0,61.0,6.0,1.0,52.0,2699.0
303,FAIRFIELD-SUISUN UNIFIED,3446.0,9042.0,4009.0,3066.0,115.0,246.0,1683.0,21607.0
304,FALL RIVER JOINT UNIFIED,1.0,293.0,737.0,5.0,115.0,2.0,79.0,1232.0
305,FALLBROOK UNION ELEMENTARY,169.0,3053.0,1546.0,64.0,6.0,7.0,161.0,5006.0
306,FALLBROOK UNION HIGH,43.0,1442.0,643.0,32.0,25.0,8.0,45.0,2238.0
307,FARMERSVILLE UNIFIED,6.0,2423.0,113.0,11.0,6.0,1.0,1.0,2561.0
308,FEATHER FALLS UNION ELEMENTARY,4.0,14.0,20.0,0.0,23.0,0.0,17.0,78.0
309,FERNDALE UNIFIED,3.0,116.0,365.0,3.0,21.0,2.0,3.0,513.0
310,FIELDBROOK ELEMENTARY,2.0,6.0,112.0,2.0,9.0,0.0,15.0,146.0
311,FILLMORE UNIFIED,6.0,3429.0,267.0,15.0,13.0,1.0,22.0,3753.0
312,FIREBAUGH-LAS DELTAS UNIFIED,3.0,2185.0,95.0,4.0,0.0,1.0,2.0,2290.0
313,FLOURNOY UNION ELEMENTARY,0.0,3.0,18.0,0.0,0.0,0.0,0.0,21.0
314,FOLSOM-CORDOVA UNIFIED,1143.0,4084.0,10212.0,3311.0,84.0,149.0,1284.0,20267.0
315,FONTANA UNIFIED,2078.0,33078.0,1572.0,792.0,39.0,93.0,362.0,38014.0
316,FORESTHILL UNION ELEMENTARY,6.0,41.0,322.0,5.0,8.0,2.0,14.0,398.0
317,FORESTVILLE UNION ELEMENTARY,1.0,98.0,211.0,2.0,4.0,1.0,23.0,340.0
318,FORKS OF SALMON ELEMENTARY,0.0,1.0,8.0,0.0,0.0,0.0,1.0,10.0
319,FORT BRAGG UNIFIED,15.0,777.0,921.0,18.0,21.0,1.0,127.0,1880.0
320,FORT ROSS ELEMENTARY,0.0,12.0,12.0,0.0,0.0,0.0,0.0,24.0
321,FORT SAGE UNIFIED,6.0,31.0,175.0,0.0,9.0,4.0,15.0,240.0
322,FORTUNA ELEMENTARY,8.0,474.0,745.0,13.0,39.0,0.0,98.0,1377.0
323,FORTUNA UNION HIGH,4.0,272.0,664.0,21.0,47.0,1.0,96.0,1105.0
324,FORTY-NINER ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,FOUNTAIN VALLEY ELEMENTARY,45.0,1101.0,2441.0,2394.0,18.0,37.0,351.0,6387.0
326,FOWLER UNIFIED,25.0,2033.0,240.0,237.0,5.0,0.0,17.0,2557.0
327,FRANKLIN ELEMENTARY,3.0,104.0,277.0,45.0,2.0,0.0,47.0,478.0
328,FRANKLIN-MCKINLEY ELEMENTARY,158.0,6464.0,179.0,3702.0,9.0,37.0,186.0,10735.0
329,FREMONT UNIFIED,780.0,5200.0,4280.0,23551.0,91.0,204.0,1057.0,35163.0
330,FREMONT UNION HIGH,96.0,1623.0,1942.0,6543.0,9.0,30.0,565.0,10808.0
331,FRENCH GULCH-WHISKEYTOWN ELEMENTARY,0.0,5.0,18.0,0.0,0.0,0.0,8.0,31.0
332,FRESHWATER ELEMENTARY,2.0,41.0,250.0,6.0,9.0,0.0,34.0,342.0
333,FRESNO COUNTY OFFICE OF EDUCATION,334.0,1785.0,329.0,84.0,29.0,2.0,121.0,2684.0
334,FRESNO ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,FRESNO UNIFIED,6224.0,49722.0,7298.0,8095.0,435.0,261.0,1321.0,73356.0
336,FRUITVALE ELEMENTARY,98.0,1220.0,1563.0,144.0,30.0,5.0,151.0,3211.0
337,FULLERTON ELEMENTARY,184.0,6775.0,2594.0,3104.0,59.0,21.0,626.0,13363.0
338,FULLERTON JOINT UNION HIGH,309.0,7712.0,2362.0,3047.0,29.0,60.0,342.0,13861.0
339,GALT JOINT UNION ELEMENTARY,47.0,2129.0,1217.0,121.0,11.0,24.0,67.0,3616.0
340,GALT JOINT UNION HIGH,34.0,1243.0,758.0,28.0,7.0,7.0,114.0,2191.0
341,GARDEN GROVE UNIFIED,257.0,23720.0,3544.0,15638.0,36.0,254.0,774.0,44223.0
342,GARFIELD ELEMENTARY,3.0,3.0,57.0,0.0,3.0,0.0,3.0,69.0
343,GARVEY ELEMENTARY,20.0,1861.0,73.0,2795.0,5.0,1.0,50.0,4805.0
344,GATEWAY UNIFIED,46.0,422.0,1935.0,76.0,176.0,14.0,132.0,2801.0
345,GAZELLE UNION ELEMENTARY,3.0,6.0,16.0,0.0,4.0,0.0,1.0,30.0
346,GENERAL SHAFTER ELEMENTARY,0.0,130.0,14.0,2.0,0.0,0.0,0.0,146.0
347,GERBER UNION ELEMENTARY,1.0,294.0,107.0,2.0,12.0,0.0,10.0,426.0
348,GEYSERVILLE UNIFIED,2.0,157.0,86.0,2.0,0.0,0.0,3.0,250.0
349,GILROY UNIFIED,153.0,8388.0,2112.0,724.0,68.0,26.0,488.0,11959.0
350,GLENDALE UNIFIED,305.0,5756.0,14650.0,4588.0,43.0,25.0,652.0,26019.0
351,GLENDORA UNIFIED,92.0,3224.0,3116.0,750.0,14.0,11.0,331.0,7538.0
352,GLENN COUNTY OFFICE OF EDUCATION,29.0,224.0,178.0,4.0,11.0,2.0,15.0,463.0
353,GLENN COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,GOLD OAK UNION ELEMENTARY,7.0,48.0,405.0,1.0,8.0,1.0,6.0,476.0
355,GOLD TRAIL UNION ELEMENTARY,6.0,77.0,564.0,3.0,11.0,4.0,20.0,685.0
356,GOLDEN FEATHER UNION ELEMENTARY,0.0,32.0,142.0,3.0,6.0,0.0,15.0,198.0
357,GOLDEN PLAINS UNIFIED,13.0,1664.0,24.0,6.0,1.0,0.0,1.0,1709.0
358,GOLDEN VALLEY UNIFIED,22.0,761.0,977.0,50.0,18.0,0.0,42.0,1870.0
359,GOLETA UNION ELEMENTARY,29.0,1791.0,1273.0,264.0,4.0,1.0,209.0,3571.0
360,GONZALES UNIFIED,3.0,2348.0,43.0,11.0,9.0,5.0,5.0,2424.0
361,GORMAN JOINT,99.0,796.0,1248.0,108.0,9.0,7.0,224.0,2491.0
362,GRANT ELEMENTARY,3.0,71.0,486.0,16.0,11.0,1.0,49.0,637.0
363,GRASS VALLEY ELEMENTARY,24.0,303.0,1293.0,35.0,59.0,4.0,18.0,1736.0
364,GRATTON ELEMENTARY,2.0,18.0,106.0,5.0,2.0,0.0,2.0,135.0
365,GRAVENSTEIN UNION ELEMENTARY,2.0,137.0,477.0,34.0,4.0,2.0,71.0,727.0
366,GRAVES ELEMENTARY,0.0,33.0,8.0,3.0,0.0,1.0,1.0,46.0
367,GREATER ANAHEIM SELPA JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
368,GREEN POINT ELEMENTARY,0.0,0.0,10.0,0.0,0.0,0.0,1.0,11.0
369,GREENFIELD UNION,659.0,7722.0,622.0,208.0,30.0,5.0,115.0,9361.0
370,GREENFIELD UNION ELEMENTARY,6.0,3448.0,45.0,13.0,3.0,4.0,3.0,3522.0
371,GRENADA ELEMENTARY,2.0,15.0,164.0,0.0,5.0,0.0,15.0,201.0
372,GRIDLEY UNIFIED,7.0,1161.0,708.0,52.0,7.0,5.0,81.0,2021.0
373,GROSSMONT UNION HIGH,1477.0,8403.0,9249.0,816.0,136.0,111.0,1517.0,21709.0
374,GUADALUPE UNION ELEMENTARY,6.0,1238.0,23.0,7.0,3.0,0.0,3.0,1280.0
375,GUERNEVILLE ELEMENTARY,8.0,88.0,165.0,4.0,16.0,1.0,4.0,286.0
376,GUSTINE UNIFIED,13.0,1512.0,290.0,25.0,10.0,4.0,36.0,1890.0
377,HACIENDA LA PUENTE UNIFIED,177.0,14982.0,617.0,2829.0,18.0,48.0,159.0,18830.0
378,HAMILTON UNIFIED,2.0,593.0,48.0,8.0,3.0,0.0,43.0,697.0
379,HANFORD ELEMENTARY,272.0,4428.0,949.0,104.0,25.0,7.0,169.0,5954.0
380,HANFORD JOINT UNION HIGH,194.0,2435.0,996.0,114.0,17.0,2.0,41.0,3799.0
381,HAPPY CAMP UNION ELEMENTARY,0.0,9.0,36.0,0.0,49.0,0.0,17.0,111.0
382,HAPPY VALLEY ELEMENTARY,1.0,6.0,87.0,8.0,2.0,0.0,21.0,125.0
383,HAPPY VALLEY UNION ELEMENTARY,3.0,85.0,330.0,27.0,33.0,3.0,19.0,500.0
384,HARMONY UNION ELEMENTARY,14.0,152.0,416.0,22.0,6.0,3.0,67.0,680.0
385,HART ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,HART-RANSOM UNION ELEMENTARY,24.0,499.0,566.0,53.0,5.0,7.0,35.0,1189.0
387,HAWTHORNE,1743.0,6117.0,194.0,331.0,26.0,102.0,60.0,8573.0
388,HAYWARD UNIFIED,2086.0,14644.0,1252.0,3380.0,71.0,740.0,749.0,22922.0
389,HEALDSBURG UNIFIED,10.0,990.0,571.0,19.0,7.0,5.0,9.0,1611.0
390,HEBER ELEMENTARY,0.0,1234.0,9.0,0.0,0.0,0.0,2.0,1245.0
391,HELENDALE ELEMENTARY,169.0,1226.0,1038.0,59.0,13.0,15.0,146.0,2666.0
392,HEMET UNIFIED,1873.0,12346.0,5940.0,434.0,195.0,69.0,853.0,21710.0
393,HERMOSA BEACH CITY ELEMENTARY,8.0,150.0,1011.0,66.0,5.0,10.0,128.0,1378.0
394,HESPERIA UNIFIED,1085.0,15244.0,3424.0,242.0,79.0,52.0,3718.0,23844.0
395,HICKMAN COMMUNITY CHARTER,15.0,268.0,712.0,32.0,4.0,9.0,31.0,1071.0
396,HILLSBOROUGH CITY ELEMENTARY,4.0,52.0,864.0,412.0,5.0,3.0,143.0,1483.0
397,HILMAR UNIFIED,10.0,1030.0,1300.0,19.0,15.0,2.0,27.0,2403.0
398,HOLLISTER,21.0,4604.0,905.0,118.0,15.0,8.0,78.0,5749.0
399,HOLTVILLE UNIFIED,5.0,1405.0,167.0,4.0,0.0,0.0,17.0,1598.0
400,HOPE ELEMENTARY,17.0,343.0,562.0,39.0,1.0,3.0,45.0,1010.0
401,HOPE ELEMENTARY,0.0,143.0,107.0,2.0,0.0,0.0,3.0,255.0
402,HORICON ELEMENTARY,0.0,35.0,16.0,0.0,5.0,0.0,3.0,59.0
403,HORNBROOK ELEMENTARY,0.0,4.0,35.0,0.0,2.0,0.0,17.0,58.0
404,HOT SPRINGS ELEMENTARY,0.0,4.0,11.0,0.0,0.0,0.0,3.0,18.0
405,HOWELL MOUNTAIN ELEMENTARY,3.0,45.0,32.0,4.0,1.0,0.0,1.0,86.0
406,HUENEME ELEMENTARY,78.0,6987.0,730.0,332.0,37.0,21.0,194.0,8379.0
407,HUGHES-ELIZABETH LAKES UNION ELEMENTARY,2.0,57.0,132.0,1.0,1.0,0.0,9.0,202.0
408,HUGHSON UNIFIED,2.0,1174.0,861.0,18.0,7.0,1.0,25.0,2088.0
409,HUMBOLDT COUNTY OFFICE OF EDUCATION,4.0,52.0,313.0,11.0,14.0,3.0,39.0,436.0
410,HUMBOLDT COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,HUNTINGTON BEACH CITY ELEMENTARY,31.0,1395.0,4231.0,755.0,18.0,25.0,700.0,7155.0
412,HUNTINGTON BEACH UNION HIGH,168.0,4430.0,6207.0,4454.0,227.0,103.0,551.0,16140.0
413,HYDESVILLE ELEMENTARY,0.0,16.0,160.0,1.0,0.0,0.0,19.0,196.0
414,IGO ONO PLATINA UNION ELEMENTARY,4.0,6.0,23.0,3.0,1.0,2.0,0.0,39.0
415,IMPERIAL COUNTY OFFICE OF EDUCATION,5.0,579.0,25.0,3.0,2.0,0.0,5.0,619.0
416,IMPERIAL UNIFIED,46.0,3438.0,540.0,60.0,8.0,1.0,29.0,4122.0
417,IMPERIAL VALLEY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,IMPERIAL VALLEY ROP JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,INDIAN DIGGINGS ELEMENTARY,0.0,3.0,12.0,0.0,0.0,0.0,2.0,17.0
420,INDIAN SPRINGS ELEMENTARY,0.0,2.0,9.0,0.0,0.0,0.0,0.0,11.0
421,INGLEWOOD UNIFIED,4902.0,7285.0,71.0,66.0,90.0,48.0,108.0,12570.0
422,INYO COUNTY CAREER TECHNICAL EDUCATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,INYO COUNTY OFFICE OF EDUCATION,311.0,1534.0,48.0,9.0,8.0,4.0,32.0,1946.0
424,IRVINE UNIFIED,672.0,3584.0,9897.0,16502.0,66.0,75.0,2577.0,33373.0
425,ISLAND UNION ELEMENTARY,2.0,151.0,215.0,0.0,0.0,0.0,19.0,387.0
426,JACOBY CREEK ELEMENTARY,4.0,53.0,331.0,15.0,7.0,0.0,45.0,455.0
427,JAMESTOWN ELEMENTARY,7.0,126.0,260.0,7.0,11.0,2.0,28.0,441.0
428,JAMUL-DULZURA UNION ELEMENTARY,13.0,409.0,358.0,16.0,5.0,0.0,42.0,843.0
429,JANESVILLE UNION ELEMENTARY,1.0,38.0,280.0,3.0,7.0,0.0,14.0,343.0
430,JEFFERSON ELEMENTARY,0.0,6.0,6.0,0.0,0.0,0.0,0.0,12.0
431,JEFFERSON ELEMENTARY,152.0,2474.0,729.0,3214.0,15.0,83.0,372.0,7039.0
432,JEFFERSON ELEMENTARY,108.0,873.0,771.0,409.0,7.0,23.0,126.0,2317.0
433,JEFFERSON UNION HIGH,99.0,1367.0,750.0,2178.0,11.0,53.0,404.0,4862.0
434,JOHN SWETT UNIFIED,337.0,530.0,299.0,339.0,15.0,7.0,187.0,1714.0
435,JOHNSTONVILLE ELEMENTARY,0.0,31.0,159.0,1.0,2.0,0.0,13.0,206.0
436,JULIAN UNION ELEMENTARY,125.0,1408.0,2182.0,141.0,83.0,12.0,409.0,4360.0
437,JULIAN UNION HIGH,0.0,43.0,84.0,1.0,11.0,0.0,11.0,150.0
438,JUNCTION CITY ELEMENTARY,0.0,6.0,48.0,0.0,8.0,2.0,6.0,70.0
439,JUNCTION ELEMENTARY,0.0,4.0,3.0,0.0,16.0,0.0,1.0,24.0
440,JUNCTION ELEMENTARY,1.0,32.0,227.0,2.0,9.0,0.0,8.0,279.0
441,JURUPA UNIFIED,362.0,16447.0,1761.0,266.0,32.0,46.0,280.0,19194.0
442,KASHIA ELEMENTARY,0.0,0.0,0.0,0.0,9.0,1.0,3.0,13.0
443,KELSEYVILLE UNIFIED,21.0,738.0,812.0,15.0,47.0,4.0,87.0,1724.0
444,KENTFIELD ELEMENTARY,12.0,140.0,853.0,62.0,2.0,1.0,187.0,1257.0
445,KENWOOD,1.0,16.0,115.0,2.0,0.0,0.0,15.0,149.0
446,KEPPEL UNION ELEMENTARY,135.0,2056.0,379.0,6.0,6.0,2.0,44.0,2628.0
447,KERMAN UNIFIED,35.0,4325.0,477.0,258.0,23.0,0.0,16.0,5134.0
448,KERN COUNTY OFFICE OF EDUCATION,257.0,2855.0,1092.0,81.0,25.0,6.0,73.0,4389.0
449,KERN COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,KERN HIGH,2279.0,25271.0,8464.0,1515.0,248.0,69.0,859.0,38705.0
451,KERN HIGH ROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,KERNVILLE UNION ELEMENTARY,10.0,145.0,677.0,9.0,32.0,0.0,8.0,881.0
453,KEYES UNION,1.0,691.0,389.0,28.0,2.0,3.0,26.0,1140.0
454,KING CITY UNION,4.0,2493.0,125.0,35.0,7.0,0.0,17.0,2681.0
455,KINGS CANYON JOINT UNIFIED,16.0,8597.0,902.0,150.0,33.0,5.0,141.0,9844.0
456,KINGS COUNTY OFFICE OF EDUCATION,28.0,231.0,78.0,10.0,9.0,2.0,6.0,364.0
457,KINGS COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,KINGS RIVER UNION ELEMENTARY,1.0,416.0,33.0,3.0,0.0,0.0,2.0,455.0
459,KINGS RIVER-HARDWICK UNION ELEMENTARY,2.0,316.0,478.0,6.0,1.0,0.0,24.0,827.0
460,KINGS SCHOOLS TRANSPORTATION AUTHORITY JPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,KINGSBURG ELEMENTARY CHARTER,7.0,1368.0,724.0,59.0,4.0,1.0,68.0,2231.0
462,KINGSBURG JOINT UNION HIGH,7.0,703.0,383.0,37.0,6.0,0.0,24.0,1160.0
463,KIRKWOOD ELEMENTARY,0.0,30.0,68.0,1.0,1.0,0.0,4.0,104.0
464,KIT CARSON UNION ELEMENTARY,19.0,571.0,220.0,2.0,5.0,4.0,16.0,837.0
465,KLAMATH RIVER UNION ELEMENTARY,2.0,2.0,10.0,0.0,3.0,0.0,6.0,23.0
466,KLAMATH-TRINITY JOINT UNIFIED,5.0,48.0,94.0,2.0,819.0,3.0,28.0,999.0
467,KNEELAND ELEMENTARY,0.0,0.0,21.0,3.0,4.0,0.0,1.0,29.0
468,KNIGHTS FERRY ELEMENTARY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
469,KNIGHTSEN ELEMENTARY,3.0,229.0,299.0,17.0,1.0,4.0,32.0,585.0
470,KONOCTI UNIFIED,105.0,1401.0,1494.0,16.0,102.0,6.0,241.0,3365.0
471,LA CANADA UNIFIED,32.0,467.0,2048.0,1234.0,10.0,0.0,341.0,4132.0
472,LA HABRA CITY ELEMENTARY,44.0,4150.0,342.0,124.0,3.0,3.0,60.0,4726.0
473,LA HONDA-PESCADERO UNIFIED,1.0,207.0,103.0,1.0,0.0,0.0,6.0,318.0
474,LA MESA-SPRING VALLEY,1153.0,6010.0,3414.0,637.0,32.0,90.0,953.0,12289.0
475,LA PUENTE VALLEY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,LA PUENTE VALLEY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,LAFAYETTE ELEMENTARY,30.0,293.0,2578.0,376.0,4.0,2.0,332.0,3615.0
478,LAGUNA BEACH UNIFIED,34.0,316.0,2317.0,160.0,12.0,8.0,178.0,3025.0
479,LAGUNA JOINT ELEMENTARY,0.0,8.0,1.0,0.0,0.0,0.0,8.0,17.0
480,LAGUNITA ELEMENTARY,0.0,42.0,45.0,0.0,1.0,0.0,11.0,99.0
481,LAGUNITAS ELEMENTARY,4.0,30.0,204.0,4.0,0.0,4.0,16.0,262.0
482,LAKE COUNTY OFFICE OF EDUCATION,0.0,7.0,14.0,0.0,5.0,0.0,8.0,34.0
483,LAKE COUNTY ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484,LAKE ELEMENTARY,1.0,48.0,118.0,0.0,1.0,0.0,1.0,169.0
485,LAKE ELSINORE UNIFIED,812.0,12997.0,6260.0,710.0,55.0,46.0,1159.0,22039.0
486,LAKE TAHOE UNIFIED,31.0,1675.0,1905.0,189.0,16.0,8.0,127.0,3951.0
487,LAKEPORT UNIFIED,16.0,478.0,782.0,34.0,145.0,1.0,78.0,1534.0
488,LAKESIDE JOINT,0.0,13.0,48.0,6.0,0.0,0.0,19.0,86.0
489,LAKESIDE UNION,83.0,798.0,333.0,96.0,9.0,8.0,47.0,1374.0
490,LAKESIDE UNION ELEMENTARY,17.0,278.0,14.0,13.0,0.0,0.0,12.0,334.0
491,LAKESIDE UNION ELEMENTARY,196.0,1932.0,3569.0,182.0,110.0,29.0,295.0,6313.0
492,LAMMERSVILLE JOINT UNIFIED,300.0,860.0,1067.0,1901.0,25.0,26.0,343.0,4522.0
493,LAMONT ELEMENTARY,4.0,3012.0,43.0,8.0,0.0,1.0,7.0,3075.0
494,LANCASTER ELEMENTARY,4447.0,7855.0,1943.0,336.0,56.0,27.0,549.0,15213.0
495,LARKSPUR-CORTE MADERA,7.0,180.0,1078.0,69.0,2.0,5.0,182.0,1523.0
496,LAS LOMITAS ELEMENTARY,17.0,138.0,654.0,192.0,2.0,6.0,377.0,1386.0
497,LAS VIRGENES UNIFIED,288.0,1253.0,8569.0,860.0,77.0,18.0,482.0,11547.0
498,LASSEN COUNTY OFFICE OF EDUCATION,1.0,1.0,9.0,0.0,0.0,0.0,2.0,13.0
499,LASSEN ROP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,LASSEN UNION HIGH,19.0,123.0,562.0,22.0,60.0,18.0,2.0,806.0
501,LASSEN VIEW UNION ELEMENTARY,2.0,70.0,214.0,0.0,8.0,0.0,4.0,298.0
502,LATON JOINT UNIFIED,9.0,572.0,86.0,1.0,0.0,0.0,32.0,700.0
503,LATROBE,0.0,16.0,111.0,4.0,2.0,0.0,10.0,143.0
504,LAWNDALE ELEMENTARY,596.0,4599.0,271.0,313.0,6.0,44.0,199.0,6028.0
505,LAYTONVILLE UNIFIED,1.0,53.0,242.0,5.0,48.0,0.0,44.0,393.0
506,LE GRAND UNION ELEMENTARY,3.0,360.0,32.0,2.0,0.0,0.0,4.0,401.0
507,LE GRAND UNION HIGH,4.0,432.0,31.0,3.0,6.0,0.0,27.0,503.0
508,LEGGETT VALLEY UNIFIED,1.0,10.0,98.0,0.0,4.0,3.0,3.0,119.0
509,LEMON GROVE,602.0,2302.0,377.0,210.0,26.0,32.0,248.0,3797.0
510,LEMOORE UNION ELEMENTARY,144.0,2130.0,656.0,144.0,24.0,12.0,139.0,3249.0
511,LEMOORE UNION HIGH,130.0,1207.0,571.0,146.0,73.0,19.0,35.0,2181.0
512,LENNOX,296.0,6376.0,30.0,29.0,4.0,28.0,454.0,7217.0
513,LEWISTON ELEMENTARY,0.0,7.0,52.0,1.0,1.0,0.0,1.0,62.0
514,LIBERTY ELEMENTARY,85.0,171.0,639.0,43.0,10.0,7.0,168.0,1123.0
515,LIBERTY ELEMENTARY,15.0,332.0,199.0,4.0,3.0,0.0,20.0,573.0
516,LIBERTY UNION HIGH,750.0,2781.0,3491.0,770.0,36.0,56.0,315.0,8199.0
517,LINCOLN ELEMENTARY,0.0,1.0,9.0,0.0,0.0,0.0,2.0,12.0
518,LINCOLN UNIFIED,1166.0,4427.0,2143.0,1252.0,48.0,108.0,294.0,9438.0
519,LINDEN UNIFIED,15.0,1302.0,774.0,65.0,27.0,4.0,27.0,2214.0
520,LINDSAY UNIFIED,9.0,3908.0,158.0,87.0,7.0,0.0,22.0,4191.0
521,LINNS VALLEY-POSO FLAT UNION,0.0,3.0,18.0,0.0,0.0,0.0,1.0,22.0
522,LITTLE LAKE CITY ELEMENTARY,78.0,4031.0,197.0,90.0,11.0,9.0,38.0,4454.0
523,LITTLE SHASTA ELEMENTARY,0.0,1.0,6.0,0.0,2.0,0.0,2.0,11.0
524,LIVE OAK ELEMENTARY,53.0,1116.0,665.0,92.0,26.0,11.0,106.0,2069.0
525,LIVE OAK UNIFIED,6.0,1079.0,462.0,219.0,18.0,5.0,17.0,1806.0
526,LIVERMORE VALLEY JOINT UNIFIED,222.0,4253.0,6875.0,1413.0,46.0,42.0,1133.0,13984.0
527,LIVINGSTON UNION,10.0,2151.0,84.0,246.0,14.0,10.0,7.0,2522.0
528,LODI UNIFIED,2140.0,13661.0,6829.0,6516.0,145.0,227.0,1279.0,30797.0
529,LOLETA UNION ELEMENTARY,1.0,78.0,134.0,12.0,45.0,3.0,32.0,305.0
